target,bit_i,bit_j,bit_i_index,bit_j_index,mean_00,mean_01,mean_10,mean_11,count_00,count_01,count_10,count_11,synergy_11_minus_additive,abs_synergy,best_state,best_state_mean
score_sa,bit_66,bit_121,66,121,0.1130608013477551,0.12278301071391276,0.12986645804212937,0.12454488388280945,8925,3433,1243,16399,-0.01504378352547757,0.01504378352547757,10,0.12986645804212937
score_sa,bit_5,bit_101,5,101,0.11444536983698157,0.12445428981827308,0.11205025655117525,0.10722203974683127,3340,21623,4353,684,-0.014837136785635488,0.014837136785635488,01,0.12445428981827308
score_sa,bit_17,bit_101,17,101,0.11323307369065302,0.11113632595924557,0.11234975330558516,0.12456712158839822,6448,1065,1245,21242,0.014314116014220515,0.014314116014220515,11,0.12456712158839822
score_sa,bit_5,bit_17,5,17,0.11483920843559728,0.12419655438261344,0.11174933663941858,0.10738071390432577,2885,22078,4628,409,-0.013725968682108985,0.013725968682108985,01,0.12419655438261344
score_sa,bit_100,bit_66,100,66,0.11296934550694586,0.1320868917759556,0.1194324577067473,0.12488799707253671,7019,78,5339,17564,-0.013662006903220322,0.013662006903220322,01,0.1320868917759556
score_sa,bit_7,bit_100,7,100,0.11284728875005305,0.11489378291191074,0.13665946463541775,0.1251636966609785,6998,3451,99,19452,-0.013542262136296931,0.013542262136296931,10,0.13665946463541775
score_sa,bit_0,bit_66,0,66,0.11941906127414563,0.1248880919128582,0.11297402613706951,0.13188609958679903,5345,17562,7013,80,0.01344304281101695,0.01344304281101695,11,0.13188609958679903
score_sa,bit_118,bit_100,118,100,0.13665946463541775,0.12517519133626787,0.11284728875005305,0.11476261189731057,99,19474,6998,3429,0.01339959644640741,0.01339959644640741,00,0.13665946463541775
score_sa,bit_7,bit_0,7,0,0.11488094753919252,0.11285187869835338,0.12516381064477813,0.13640987532005686,3457,6992,19450,101,0.013275133516117865,0.013275133516117865,11,0.13640987532005686
score_sa,bit_63,bit_100,63,100,0.11284243667768562,0.11427690751748362,0.1367608423801132,0.12496008898813746,6997,2881,100,20022,-0.013235224231773757,0.013235224231773757,10,0.1367608423801132
score_sa,bit_101,bit_0,101,0,0.11220636146269806,0.1133104152610495,0.12443116169935813,0.11237668030873758,1535,6158,21372,935,-0.01315853518897199,0.01315853518897199,10,0.12443116169935813
score_sa,bit_101,bit_100,101,100,0.1133028615549031,0.11223387924328637,0.11236618264220827,0.12443162095998908,6162,1531,935,21372,0.013134420629397542,0.013134420629397542,11,0.12443162095998908
score_sa,bit_118,bit_0,118,0,0.12517530637192179,0.13640987532005686,0.11474992343809681,0.11285187869835338,19472,101,3435,6992,-0.01313261368787852,0.01313261368787852,01,0.13640987532005686
score_sa,bit_46,bit_100,46,100,0.13665946463541775,0.1251751825016021,0.11284728875005305,0.11444665709420013,99,19575,6998,3328,0.013083650477962741,0.013083650477962741,00,0.13665946463541775
score_sa,bit_48,bit_100,48,100,0.13665946463541775,0.12516901789714993,0.11284728875005305,0.11442480502099699,99,19593,6998,3310,0.013067963009211758,0.013067963009211758,00,0.13665946463541775
score_sa,bit_63,bit_0,63,0,0.1142628200110339,0.11284702311826374,0.1249601793862172,0.13651171221990893,2887,6991,20020,102,0.01296732972646189,0.01296732972646189,11,0.13651171221990893
score_sa,bit_46,bit_0,46,0,0.1251752969427498,0.13640987532005686,0.11443415285647349,0.11285187869835338,19573,101,3334,6992,-0.012816852535427165,0.012816852535427165,01,0.13640987532005686
score_sa,bit_48,bit_0,48,0,0.12516913160382007,0.13640987532005686,0.11441227244676856,0.11285187869835338,19591,101,3316,6992,-0.012801137464651974,0.012801137464651974,01,0.13640987532005686
score_sa,bit_7,bit_66,7,66,0.11336026029000558,0.12292437114173006,0.12757953731237642,0.1249401637698884,10271,178,2087,17464,-0.012203484394212524,0.012203484394212524,10,0.12757953731237642
score_sa,bit_5,bit_0,5,0,0.12389378228324038,0.11596644005628587,0.1075924740047954,0.11171903086580467,22511,2452,396,4641,0.012053899087963796,0.012053899087963796,00,0.12389378228324038
score_sa,bit_100,bit_15,100,15,0.1125819832494219,0.11367230943883574,0.12493745588313199,0.11400541837843062,3208,3889,20135,2768,-0.012022363694115218,0.012022363694115218,10,0.12493745588313199
score_sa,bit_5,bit_100,5,100,0.11596719330061361,0.12389264402606531,0.11171061903583795,0.10761872667229706,2449,22514,4648,389,-0.012017343088992605,0.012017343088992605,01,0.12389264402606531
score_sa,bit_0,bit_15,0,15,0.12492086608146008,0.11403389199137927,0.11261707283114193,0.11365341299894176,20153,2754,3190,3903,0.011923314257880638,0.011923314257880638,00,0.12492086608146008
score_sa,bit_101,bit_66,101,66,0.11319944366281565,0.10682809460784266,0.1198000279914588,0.125056210716866,7561,132,4797,17510,0.011627531780380201,0.011627531780380201,11,0.125056210716866
score_sa,bit_97,bit_15,97,15,0.12490114514587317,0.11512956197054466,0.11168071069832392,0.11332097429877136,20409,1803,2934,4854,0.011411846775775947,0.011411846775775947,00,0.12490114514587317
score_sa,bit_23,bit_121,23,121,0.11211402685354731,0.1286237415732272,0.11898241180250348,0.12412348709291317,5725,513,4443,19319,-0.011368639429270203,0.011368639429270203,01,0.1286237415732272
score_sa,bit_5,bit_15,5,15,0.12476741001617643,0.11483813408026526,0.11069204476889985,0.1121058731560952,20809,4154,2534,2503,0.01134310432310652,0.01134310432310652,00,0.12476741001617643
score_sa,bit_97,bit_125,97,125,0.12442374656849801,0.11283004861071218,0.11294217976492092,0.11255657281376444,21607,605,2958,4830,0.011208091006629353,0.011208091006629353,00,0.12442374656849801
score_sa,bit_17,bit_15,17,15,0.11181617898654063,0.11345628301813498,0.12453880937864856,0.11500087295753517,2384,5129,20959,1528,-0.011178040452707746,0.011178040452707746,10,0.12453880937864856
score_sa,bit_17,bit_66,17,66,0.11295428797781817,0.10665795736779077,0.12008242378626277,0.12494262673544083,7491,22,4867,17620,0.01115653355920547,0.01115653355920547,11,0.12494262673544083
score_sa,bit_17,bit_0,17,0,0.11249312213523367,0.11304981162509424,0.12441223879638419,0.1139222797909432,1538,5975,21369,1118,-0.011046648495301556,0.011046648495301556,10,0.12441223879638419
score_sa,bit_101,bit_15,101,15,0.11226645437993837,0.11350792547670922,0.124608308089108,0.11480628322344129,2589,5104,20754,1553,-0.01104349596243756,0.01104349596243756,10,0.124608308089108
score_sa,bit_125,bit_0,125,0,0.12453416621693007,0.11376009651401744,0.11243531578892677,0.11265881396923205,21161,3404,1746,3689,0.010997567883217915,0.010997567883217915,00,0.12453416621693007
score_sa,bit_5,bit_125,5,125,0.12405435904289704,0.11382918643417413,0.11092060176659446,0.11168049064494014,22670,2293,1895,3142,0.010985061487068584,0.010985061487068584,00,0.12405435904289704
score_sa,bit_17,bit_100,17,100,0.11303661695633885,0.11254051152446048,0.1139498990578171,0.12440687896767705,5987,1526,1110,21377,0.010953085341738306,0.010953085341738306,11,0.12440687896767705
score_sa,bit_125,bit_100,125,100,0.11376169667533609,0.12453085531947752,0.11264459809921212,0.11246431896945713,3398,21167,3699,1736,-0.010949437773896425,0.010949437773896425,01,0.12453085531947752
