target,bit_index,bit,count0,count1,mean_if_0,mean_if_1,contribution_if_0,contribution_if_1,effect_1_minus_0,abs_effect,global_mean
qed,12,bit_12,21495,8505,0.6033415837938686,0.699553619205148,-0.027276112039097744,0.06893592337218168,0.09621203541127943,0.09621203541127943,0.6306176958329663
qed,36,bit_36,12760,17240,0.5754248730874305,0.6714680681202655,-0.05519282274553583,0.04085037228729915,0.09604319503283498,0.09604319503283498,0.6306176958329663
qed,86,bit_86,9587,20413,0.6949430204711543,0.6004071982428861,0.06432532463818796,-0.03021049759008021,-0.09453582222826817,0.09453582222826817,0.6306176958329663
qed,120,bit_120,21022,8978,0.6030207396870203,0.6952360086086486,-0.02759695614594604,0.06461831277568231,0.09221526892162835,0.09221526892162835,0.6306176958329663
qed,67,bit_67,18478,11522,0.5952492452305559,0.6873385976062123,-0.03536845060241045,0.05672090177324596,0.09208935237565641,0.09208935237565641,0.6306176958329663
qed,23,bit_23,6238,23762,0.7030851761021505,0.6115935336446333,0.07246748026918415,-0.019024162188333027,-0.09149164245751717,0.09149164245751717,0.6306176958329663
qed,51,bit_51,9860,20140,0.6914896812482608,0.6008164159821817,0.06087198541529448,-0.029801279850784623,-0.0906732652660791,0.0906732652660791,0.6306176958329663
qed,97,bit_97,22212,7788,0.6075220467522187,0.6964883375101065,-0.023095649080747682,0.06587064167714018,0.08896629075788787,0.08896629075788787,0.6306176958329663
qed,17,bit_17,7513,22487,0.6966683548904555,0.6085498965934539,0.06605065905748919,-0.02206779923951241,-0.0881184582970016,0.0881184582970016,0.6306176958329663
qed,33,bit_33,18283,11717,0.596231208288092,0.6842737640913038,-0.03438648754487439,0.053656068258337464,0.08804255580321185,0.08804255580321185,0.6306176958329663
qed,100,bit_100,7097,22903,0.69589383151694,0.6103904446017232,0.06527613568397361,-0.020227251231243137,-0.08550338691521675,0.08550338691521675,0.6306176958329663
qed,0,bit_0,22907,7093,0.6104059515031097,0.6958919700983016,-0.020211744329856618,0.06527427426533527,0.08548601859519189,0.08548601859519189,0.6306176958329663
qed,5,bit_5,24963,5037,0.6164594010118061,0.7007851593272335,-0.014158294821160267,0.07016746349426717,0.08432575831542743,0.08432575831542743,0.6306176958329663
qed,58,bit_58,16387,13613,0.5935918013213445,0.675188571713518,-0.03702589451162186,0.04457087588055164,0.0815967703921735,0.0815967703921735,0.6306176958329663
qed,101,bit_101,7693,22307,0.690188134585054,0.610073678918105,0.05957043875208767,-0.020544016914861296,-0.08011445566694897,0.08011445566694897,0.6306176958329663
score_logp,106,bit_106,17349,12651,0.04450401099591403,0.07235701854909227,-0.01174561328517526,0.016107394268002978,0.02785300755317824,0.02785300755317824,0.05624962428108929
score_logp,20,bit_20,8294,21706,0.07557706834567383,0.048864485560382365,0.019327444064584545,-0.007385138720706924,-0.02671258278529147,0.02671258278529147,0.05624962428108929
score_logp,4,bit_4,10454,19546,0.07357285279570801,0.04698445335651014,0.01732322851461872,-0.009265170924579146,-0.026588399439197864,0.026588399439197864,0.05624962428108929
score_logp,110,bit_110,12964,17036,0.07121457387794058,0.04486164549654008,0.014964949596851296,-0.01138797878454921,-0.026352928381400506,0.026352928381400506,0.05624962428108929
