bit,bit_index,property,count0,count1,mean_if_0,mean_if_1,shift_1_minus_0,relative_shift_percent
bit_47,47,sa,21091,8909,4.452909278382414,4.774375636084895,0.321466357702481,7.219243366648118
bit_47,47,logp,21091,8909,4.212913779811297,3.275859487035584,-0.9370542927757128,-22.24242749201682
bit_47,47,mw,21091,8909,298.72470469442146,309.17137112523517,10.446666430813707,3.497088210866275
bit_47,47,tpsa,21091,8909,33.94035655018729,50.34142889213155,16.401072341944264,48.32321757637446
bit_47,47,nrb,21091,8909,4.848987719880518,4.710292962173083,-0.13869475770743467,-2.8602827171286833
bit_47,47,hbd,21091,8909,0.7799535346830402,1.1925019643057582,0.412548429622718,52.89397525332975
bit_47,47,hba,21091,8909,2.1717320183964723,2.5085868223145136,0.33685480391804123,15.510882607273183
bit_47,47,ro5,21091,8909,1.0,1.0,0.0,0.0
bit_47,47,official_property_contribution,21091,8909,0.5618486336973302,0.6231590157373642,0.06131038204003403,10.912259701794015
bit_23,23,qed,6238,23762,0.7030851761021505,0.6115935336446333,-0.09149164245751717,-13.012881734292808
bit_23,23,sa,6238,23762,4.893771201929611,4.457700419771354,-0.43607078215825723,-8.910730889632005
bit_23,23,logp,6238,23762,3.512595490541843,4.0454349814830435,0.5328394909412006,15.16939517732531
bit_23,23,mw,6238,23762,319.60286232891514,297.16050150900554,-22.442360819909595,-7.021952386901131
bit_23,23,tpsa,6238,23762,49.41677941647964,36.02668041410656,-13.390099002373084,-27.09625993536057
bit_23,23,nrb,6238,23762,4.644277011862776,4.850728053194175,0.20645104133139913,4.445278367420068
bit_23,23,hbd,6238,23762,1.0905739018916318,0.853084757175322,-0.23748914471630989,-21.77652924798385
bit_23,23,hba,6238,23762,2.395639628085925,2.2392475380860195,-0.15639208999990561,-6.528197654037815
bit_23,23,ro5,6238,23762,1.0,1.0,0.0,0.0
bit_23,23,official_property_contribution,6238,23762,0.6276831556665179,0.567552633594261,-0.06013052207225689,-9.579757164011529
bit_12,12,qed,21495,8505,0.6033415837938686,0.699553619205148,0.09621203541127943,15.946528135237937
bit_12,12,sa,21495,8505,4.400007181224405,4.9233471806966795,0.5233399994722747,11.894071484825238
bit_12,12,logp,21495,8505,4.01527748453129,3.7308415249853053,-0.28443595954598466,-7.083843162565073
bit_12,12,mw,21495,8505,291.02813982954984,329.119415217941,38.09127538839118,13.088519691154465
bit_12,12,tpsa,21495,8505,34.61373807862294,49.41864197530864,14.804903896685701,42.77175687600481
bit_12,12,nrb,21495,8505,4.747429634798791,4.960376249265138,0.21294661446634766,4.485513864290754
bit_12,12,hbd,21495,8505,0.8366131658525239,1.0689006466784245,0.23228748082590067,27.765219375814574
bit_12,12,hba,21495,8505,2.2212142358688065,2.3995296884185775,0.178315452549771,8.027836742187302
bit_12,12,ro5,21495,8505,1.0,1.0,0.0,0.0
bit_12,12,official_property_contribution,21495,8505,0.5633093286859703,0.6223796807066001,0.059070352020629824,10.486308145903251
bit_124,124,qed,8492,21508,0.6775782797358362,0.6120762564381752,-0.06550202329766097,-9.66707836667933
bit_124,124,sa,8492,21508,4.679016120936574,4.496792692637644,-0.18222342829893012,-3.8944817369523275
bit_124,124,logp,8492,21508,3.110267003061707,4.2601268974335165,1.1498598943718097,36.969812985184305
bit_124,124,mw,8492,21508,298.3021884828975,303.2187236129811,4.91653513008356,1.6481726651380024
bit_124,124,tpsa,8492,21508,49.14025435704192,34.732602287520926,-14.407652069520992,-29.319449518592776
bit_124,124,nrb,8492,21508,4.5131888836552045,4.924121257206621,0.4109323735514163,9.105144591657432
bit_124,124,hbd,8492,21508,1.230687706076307,0.7728752092244746,-0.45781249685183245,-37.19972943513311
bit_124,124,hba,8492,21508,2.470913801224682,2.1931374372326577,-0.2777763639920243,-11.241847605300817
bit_124,124,ro5,8492,21508,1.0,1.0,0.0,0.0
bit_124,124,official_property_contribution,8492,21508,0.6216060354715868,0.5636504905751281,-0.05795554489645871,-9.323517081440535
bit_31,31,qed,12637,17363,0.6707145359621295,0.6014347338614042,-0.06927980210072526,-10.32925311531298
bit_31,31,sa,12637,17363,4.581413588477959,4.524327513370262,-0.05708607510769692,-1.2460362725440404
bit_31,31,logp,12637,17363,3.3101738782939005,4.389133755687385,1.0789598773934843,32.59526287935037
bit_31,31,mw,12637,17363,296.09649834807817,305.9977562886654,9.901257940587243,3.3439294270031366
bit_31,31,tpsa,12637,17363,45.561139510959876,33.89804354086275,-11.663095970097125,-25.598780222104693
bit_31,31,nrb,12637,17363,4.393922608213975,5.109024938086736,0.715102329872761,16.27480485286547
